컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0032_31000pages,31000,자연어 처리 기술,0.4000000000000001,5.551115123125783e-17,0.6999999999999998,1.1102230246251565e-16,2092.1312173207602,3.209988276163737
collection_0032_31000pages,31000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2035.7162157694497,5.312601725260417
collection_0032_31000pages,31000,강화학습 기법,1.0,0.0,1.0,0.0,2075.619379679362,0.0
collection_0032_31000pages,31000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2075.863520304362,3.003835678100586
collection_0033_32000pages,32000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2085.085153579712,17.67754554748535
collection_0033_32000pages,32000,자연어 처리 기술,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,2155.9232076009116,6.719032923380534
collection_0033_32000pages,32000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2172.4398136138916,0.0
collection_0033_32000pages,32000,강화학습 기법,1.0,0.0,1.0,0.0,2159.1338316599526,5.935986836751302
collection_0033_32000pages,32000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2211.44692103068,2.087672551472982
collection_0034_33000pages,33000,딥러닝 모델의 성능 향상 방법,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2242.9045836130776,22.127072016398113
collection_0034_33000pages,33000,자연어 처리 기술,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,2249.279340108236,5.085229873657227
collection_0034_33000pages,33000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2246.0400263468423,0.0
collection_0034_33000pages,33000,강화학습 기법,1.0,0.0,1.0,0.0,2259.6662044525146,3.4456253051757812
collection_0034_33000pages,33000,신경망 아키텍처,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,2247.863292694092,5.700111389160156
collection_0035_34000pages,34000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2345.2537854512534,10.576407114664713
collection_0035_34000pages,34000,자연어 처리 기술,0.4000000000000001,5.551115123125783e-17,0.6999999999999998,1.1102230246251565e-16,2322.422981262207,5.279699961344401
collection_0035_34000pages,34000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.6999999999999998,1.1102230246251565e-16,2394.49413617452,2.593994140625
collection_0035_34000pages,34000,강화학습 기법,1.0,0.0,1.0,0.0,2332.8394095102944,6.793657938639323
collection_0035_34000pages,34000,신경망 아키텍처,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,2290.789842605591,10.516961415608725
collection_0036_35000pages,35000,딥러닝 모델의 성능 향상 방법,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2476.795434951782,21.24301592508952
collection_0036_35000pages,35000,자연어 처리 기술,0.4000000000000001,5.551115123125783e-17,0.6999999999999998,1.1102230246251565e-16,2366.0057385762534,7.818937301635742
collection_0036_35000pages,35000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2389.9540106455484,1.8553733825683594
collection_0036_35000pages,35000,강화학습 기법,1.0,0.0,1.0,0.0,2389.439503351847,0.0
collection_0036_35000pages,35000,신경망 아키텍처,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,2337.8825187683105,4.510164260864258
collection_0037_36000pages,36000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2631.578286488851,14.15689786275228
collection_0037_36000pages,36000,자연어 처리 기술,0.6,0.0,0.6,0.0,2459.3310356140137,2.010186513264974
collection_0037_36000pages,36000,컴퓨터 비전 알고리즘,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,2428.9581775665283,0.0
collection_0037_36000pages,36000,강화학습 기법,1.0,0.0,0.9,0.0,2483.0845991770425,4.881938298543294
collection_0037_36000pages,36000,신경망 아키텍처,0.20000000000000004,2.7755575615628914e-17,0.6,0.0,2535.6698830922446,1.3868014017740886
collection_0038_37000pages,37000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2643.4528827667236,21.515289942423504
collection_0038_37000pages,37000,자연어 처리 기술,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2577.7568022410073,1.676321029663086
collection_0038_37000pages,37000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.8000000000000002,1.1102230246251565e-16,2529.3376445770264,8.448600769042969
collection_0038_37000pages,37000,강화학습 기법,1.0,0.0,0.9,0.0,2483.569622039795,2.7784506479899087
collection_0038_37000pages,37000,신경망 아키텍처,0.20000000000000004,2.7755575615628914e-17,0.6,0.0,2545.4347133636475,10.562658309936523
collection_0039_38000pages,38000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2911.8048350016275,21.20629946390788
collection_0039_38000pages,38000,자연어 처리 기술,0.6,0.0,0.6999999999999998,1.1102230246251565e-16,2517.4200534820557,0.0
collection_0039_38000pages,38000,컴퓨터 비전 알고리즘,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,2582.4077129364014,2.239227294921875
collection_0039_38000pages,38000,강화학습 기법,1.0,0.0,1.0,0.0,2548.103094100952,8.476575215657553
collection_0039_38000pages,38000,신경망 아키텍처,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2602.1008491516113,5.2776336669921875
collection_0040_39000pages,39000,딥러닝 모델의 성능 향상 방법,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2668.453852335612,19.47188377380371
collection_0040_39000pages,39000,자연어 처리 기술,0.6,0.0,0.6,0.0,2600.569248199463,3.1665166219075522
collection_0040_39000pages,39000,컴퓨터 비전 알고리즘,0.8000000000000002,1.1102230246251565e-16,0.9,0.0,2676.1814753214517,0.0
collection_0040_39000pages,39000,강화학습 기법,1.0,0.0,0.9,0.0,2625.0757376352944,6.981611251831055
collection_0040_39000pages,39000,신경망 아키텍처,0.4000000000000001,5.551115123125783e-17,0.6,0.0,2691.2874380747476,7.174173990885417
collection_0041_40000pages,40000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,2686.297337214152,19.383986790974934
collection_0041_40000pages,40000,자연어 처리 기술,0.6,0.0,0.6,0.0,2602.3260752360025,0.0
